"","gap","yr","eco","plot","obs"
"1",86.2,6,2,2115,77
"2",92.16,6,2,2115,77
"3",86.2,6,2,2115,77
"4",30.96,6,2,2116,52
"5",22.52,6,2,2116,52
"6",19.28,6,2,2116,52
"7",40.6,6,2,2118,77
"8",21.8,6,2,2118,52
"9",43.36,6,2,2118,77
"10",59.48,6,2,2120,77
"11",78.4,6,2,2120,77
"12",39.12,6,2,2120,41
"13",74.6,6,1,2136,52
"14",78.44,6,1,2136,41
"15",64.68,6,1,2136,52
"16",61.88,6,1,2139,41
"17",68.6,6,1,2139,41
"18",54.64,6,1,2139,52
"19",87.96,6,1,2142,41
"20",80.8,6,1,2142,41
"21",80.36,6,1,2142,41
"22",57.52,6,1,2144,52
"23",74.08,6,1,2144,41
"24",74.8,6,1,2144,41
"25",67.84,6,1,2145,41
"26",59.52,6,1,2145,41
"27",67.52,6,1,2145,77
"28",50.92,6,1,2179,77
"29",62.72,6,1,2179,77
"30",59.2,6,1,2179,77
"31",42.48,6,1,2181,77
"32",57.32,6,1,2181,41
"33",50.4,6,1,2181,52
"34",78.28,6,1,2182,52
"35",65.84,6,1,2182,52
"36",86.8,6,1,2182,52
"37",64,6,1,2185,52
"38",61.56,6,1,2185,52
"39",50.52,6,1,2185,52
"40",42.64,6,1,2186,77
"41",65.72,6,1,2186,77
"42",52.64,6,1,2186,77
"43",3.92,6,1,2223,52
"44",1.4,6,1,2223,52
"45",2.92,6,1,2223,52
"46",68.04,6,1,2232,52
"47",41.48,6,1,2232,52
"48",46.08,6,1,2232,52
"49",77.88,6,1,2359,52
"50",80.2,6,1,2359,52
"51",75.2,6,1,2359,41
"52",78.28,6,1,2362,52
"53",80.64,6,1,2362,52
"54",86.88,6,1,2362,52
"55",20.16,1,2,162,199
"56",15.88,1,2,162,33
"57",9.48,1,2,162,63
"58",7.04,1,2,163,33
"59",6.16,1,2,163,63
"60",6.96,1,2,163,199
"61",26.94,1,2,164,199
"62",22.64,1,2,164,63
"63",12,1,2,164,33
"64",26.94,1,2,165,33
"65",42.04,1,2,165,63
"66",32.9,1,2,165,199
"67",12.28,1,2,135,199
"68",27.86,1,2,135,63
"69",31.12,1,2,135,33
"70",5.72,1,2,136,33
"71",6.38,1,2,136,63
"72",12.5,1,2,136,199
"73",55.66,1,2,166,63
"74",34.04,1,2,166,199
"75",30.94,1,2,166,33
"76",21.58,1,2,167,199
"77",16.5,1,2,167,63
"78",19.96,1,2,167,33
"79",20.2,1,2,168,33
"80",37.14,1,2,168,63
"81",11.46,1,2,168,199
"82",30.82,1,2,169,33
"83",21,1,2,169,63
"84",24.78,1,2,169,199
"85",22.42,1,2,170,199
"86",27.8,1,2,170,33
"87",25.22,1,2,170,63
"88",21.06,1,2,171,33
"89",12.5,1,2,171,63
"90",15.64,1,2,171,199
"91",78.42,1,1,195,33
"92",105.5,1,1,195,63
"93",70.66,1,1,195,199
"94",83.32,1,1,196,33
"95",80.36,1,1,196,63
"96",86.28,1,1,196,199
"97",79.56,1,1,197,63
"98",65.12,1,1,197,33
"99",62.22,1,1,197,199
"100",65.74,1,1,198,199
"101",74.3,1,1,198,63
"102",69.28,1,1,198,33
"103",64.54,1,1,199,199
"104",76.32,1,1,199,33
"105",73.4,1,1,199,63
"106",62.08,1,1,200,63
"107",71.94,1,1,200,33
"108",77.78,1,1,200,199
"109",75.38,1,1,201,63
"110",84.74,1,1,201,33
"111",75.36,1,1,201,199
"112",34.92,1,1,202,63
"113",38.46,1,1,202,199
"114",49.48,1,1,202,33
"115",31.68,1,1,203,33
"116",34.62,1,1,203,63
"117",24.38,1,1,203,199
"118",47.3,1,1,204,199
"119",45.38,1,1,204,33
"120",29.76,1,1,204,63
"121",45.54,1,1,205,63
"122",20.98,1,1,205,33
"123",34.6,1,1,205,33
"124",20,1,1,207,63
"125",12.88,1,1,207,199
"126",21.46,1,1,207,33
"127",23.62,1,1,219,199
"128",25.68,1,1,219,63
"129",25.04,1,1,219,33
"130",20.32,1,1,220,33
"131",15.22,1,1,220,63
"132",15.44,1,1,220,199
"133",52.66,1,1,221,33
"134",32.98,1,1,222,33
"135",43.62,1,1,222,63
"136",40.08,1,1,222,199
"137",27.82,1,1,223,199
"138",12.2,1,1,223,33
"139",29.88,1,1,223,63
"140",35.34,1,1,224,33
"141",59.52,1,1,224,63
"142",64.2,1,1,224,199
"143",42.06,1,1,225,33
"144",67.84,1,1,225,63
"145",41.6,1,1,225,199
"146",52.6,1,1,226,63
"147",49.34,1,1,226,33
"148",39.44,1,1,226,199
"149",20.5,1,1,227,33
"150",22.18,1,1,227,63
"151",16.64,1,1,227,199
"152",48.5,1,1,228,63
"153",37.9,1,1,228,33
"154",22.46,1,1,228,199
"155",16.36,1,1,229,199
"156",17.78,1,1,229,33
"157",37.7,1,1,229,63
"158",26.58,1,1,230,63
"159",34.34,1,1,230,33
"160",31.94,1,1,230,199
"161",78.68,2,2,703,34
"162",82.46,2,2,703,34
"163",87.06,2,2,703,34
"164",17.98,2,2,704,116
"165",43.02,2,2,704,116
"166",23.9,2,2,704,116
